Prompt,Generation,Coherence,Musical Quality,Pop Style,BLEU,Rouge LSUM
Who am I to judge,"Who am I to judge? Who does it feel like, what's wrong with the way that you look at me When we're in love We've been apart for a long time (I don't know how many years) And all of our lives are just one thing and nothing else But this is not my fault 'Cause these things can be so much harder than they could ever have Been such",,,,,
I won't be somebody else,"I won't be somebody else 'Cause I'm the only one who can make me feel like you've been in love for a long time And it's too late to say, ""You're not my friend"" (Oh-oh)",,,,,
"Freestyler, rock the microphone Straight","Freestyler, rock the microphone Straight out of my head I don't know what it's like to be in a world where you're all alone You've got me on your mind The only thing we can do is make sure that no one else will ever wake up and say ""I'm not gonna let this go down"" (Oh-oh) 'Cause there are so many reasons why",,,,,
"A white house, a white","A white house, a white room I don't know what it feels like to be alone You're the only one that you've ever seen There's no other place for me in your life (I'm on my own) So why do we have this feeling? Is there something wrong with our way of looking at ourselves We could just say 'bout us and let them go Oh-oh",,,,,
Too Fragile -Jyodan- I'm a,"Too Fragile -Jyodan- I'm a waste of time Why don't you know what it's like to lose your mind? You're the only one that can stop me from falling in love (Oh, yeah)",,,,,
I used to bite my,"I used to bite my tongue, but now I don't know what it's like To be a part of your life But you're the only one that can make me feel Your love is so much more than anything else You've been doing this for too long And we'll never get back together again (Yeah)",,,,,
You had a bed made,"You had a bed made out of it, but I don't know what to do Now you're the only one in my life You've got me on your mind There's no other way around The world is filled with so many things that nobody ever thought they could be So here we are now (I'm not gonna let go)",,,,,
"Face up, untouched, gazing at","Face up, untouched, gazing at me I don't know what it's like to be alone You're the only one with a smile on your face When you say ""I'm not in love"" (Oh-oh) 'Cause we've been together for so long We'll never get out of each other So go back and try again But this time is different And every single day will change",,,,,
I ain't got no time,"I ain't got no time in my life And I'm not gonna let you go 'Cause that's what it takes to be a man You're the only one who can make me feel like we've been together for We'll never see each other again (Yeah, yeah)",,,,,
NA The drink you spilt,"NA The drink you spilt in the back of my mind And I don't know what it's like to be alone We've been together since we first met (Yeah, yeah) It was just a little too long for me To go out with your friends and see each other 'Cause they're so much different from one another So many years have gone by without us All this time has",,,,,
And it still ain't a,"And it still ain't a long way to go, but I'll be there for the rest of my life 'Cause that's not what you're gonna do right now (Oh-ooh)",,,,,
My man says I'm a,"My man says I'm a fool If you don't know what it's like to be with me You're the only one who can change your mind No matter how many times we've been together We'll never let go of each other My heart is beating in my head Every night, every day It feels so much more than anything else (Oh-oh)",,,,,
Here we stand Worlds apart,"Here we stand Worlds apart I don't know what it's like to live in a world that you've never seen before You're the only one who can keep me on my mind 'Cause there are so many different ways of looking at each other Every day, every night (I'm gonna say goodbye) We'll go out and make some friends But this is all too easy for us To be",,,,,
"Cheated and lied, broken so","Cheated and lied, broken so I don't know what it's like to be alone You're the only one in this world that you've been around for a long time We'll never get back together again (Oh-ooh) 'Cause we got too much of each other So let me just lay my hands on your chest And say ""I'm sorry"" But there is no way",,,,,
All along the Western front,"All along the Western front It's been a long time, but I can't wait for it to get out of my head 'Cause when you're in love with someone else You've got me on your mind (Oh-ooh) And we'll never be together again The only thing that will keep us from falling apart is losing our minds and turning them upside down We just need one another",,,,,
The feeling's gonna fade in,"The feeling's gonna fade in and out of my mind I don't know what to do, but it feels like you've been here for a long time You're the only one that can get away from me 'Cause your love is so much more than we ever thought We'll never be together again (Oh-ooh)",,,,,
Party girls don't get hurt,"Party girls don't get hurt 'Cause you're the only one who can make me feel like I've been wrong for a long time, but it's not my fault (I'm just trying to keep myself in check)",,,,,
Back against the wall There,"Back against the wall There's nothing left to say 'Cause I don't know what it feels like when you're standing in front of me With your eyes wide open You've been waiting for a long time The only thing we can do right now is give up on us We'll never let this go down, no one will ever come back To be with all our hearts and minds Every single day",,,,,
"Baby, don't understand Why we","Baby, don't understand Why we're living in the same place You've been on my mind for a long time But now you know that I'm here to stay 'Cause there's nothing wrong with me And this is what it feels like (Oh-ooh)",,,,,
Look at what you've done,"Look at what you've done to me 'Cause I don't know where it's coming from You're the only one who can keep your heart in check (I'm not a fan) Oh-oh, this is gonna be my favorite song of all time We'll go out and play with each other until we get back on track!",,,,,
Starin' at two different views,"Starin' at two different views I don't know what it's like to be a part of the world We're in love with each other, we've been together for quite some time But when you look back and say 'bout your whole life', ""Oh-ooh"" You'll never see me again The only thing that will ever change my mind (I'm sorry) Star",,,,,
Call above the atmosphere Kept,"Call above the atmosphere Kept and let go, but I don't know what it's like to be in this world We've got a lot of reasons why we're falling apart The only thing that you can do is make me feel so sorry for my life (I'm not alone) Calling myself 'bout your love' at all times And calling yourself ‘caught up’",,,,,
I'm lost when I try,"I'm lost when I try to figure out what's going on in my head You're the only one who can change your mind If you don't love me, then it'll be a waste of time It feels like we've been living for more than two thousand years We could go back and forth with each other 'Cause there are so many things that make up our lives But this is not",,,,,
"So if you're lonely, you","So if you're lonely, you know what it's like to be with me I've been thinking of myself for a long time (I don't wanna give up on my own) But this is the only way that we can get away from each other 'Cause no one else will ever let us go We'll come back together and make our lives better",,,,,
Money rains from the sky,"Money rains from the sky, but I don't know what it's like to be a part of your life You're never gonna let me go 'Cause you've been on my mind for more than two and half years The only thing that we can do is make our dreams come true No matter how much time goes by (I'm not too far away) Nothing will ever stop us We'll",,,,,
"Plug in the mic, open","Plug in the mic, open your eyes I don't know what it's like to be a part of my life But when you look back at me and say ""I'm not gonna let this go away"" (Oh-oh)",,,,,
I hear your heart beat,I hear your heart beat in my head But I don't know what it's like to be with you You're the only one who can keep me alive 'Cause we've been together for a long time We'll never see each other again (Oh-ooh),,,,,
Look at what you started,Look at what you started to do It's just a matter of time 'Cause I don't know how long it will take You're the only one that can keep me from falling in love (I'm not sure if this is true),,,,,
Who am I? Someone that's,"Who am I? Someone that's gonna make me feel like you've been for a long time (Yeah, yeah) You're the only one in my life who doesn't know what it means to be with someone else And when they say ""I'm not your friend"" They go out of their way 'Cause nobody knows how we can get away from each other We got so far too close",,,,,
Woman moaning sounds VHS Sex,"Woman moaning sounds VHS Sex, I don't know what it's like to be alone You're the only one in my life And you've got me on your back She said ""Oh-oh"" (I'm not a fan of her) My heart is beating faster than she ever thought We'll never get together again 'Cause we love each other so much So many things that make us",,,,,
"I'm so alone, nothing feels","I'm so alone, nothing feels right 'Cause I don't know what it's like to be with someone else But you're the only one who can make me feel that way You've been a part of my life for more than two or three years (Oh-oh)",,,,,
I know you don't get,I know you don't get what I've been waiting for You're the only one in my life And it's not enough to let me go 'Cause there is no way that we'll ever be together We will never see each other again In a world where all of us are falling apart,,,,,
You feel it all around,"You feel it all around You don't know what to do It's just a matter of time But you've got your hands on me And I'm the only one who knows where we're gonna go We'll be there, baby!",,,,,
Watch the summer fade away,"Watch the summer fade away, it's just a matter of time And I can't wait for you to be with me 'Cause this is what we've been waiting For all my friends and family We'll never see each other again (I'm not sure if they ever come back) But now your eyes are wide open You're staring at us like an old-fashioned movie The only thing that",,,,,
No one wants to listen,"No one wants to listen 'Cause I don't know what you're talking about, it's just a matter of time We've been living in the same place for more than two hundred years And we'll never see another day like this",,,,,
Ooh They say be one,"Ooh They say be one of my friends, but I don't know what it's like to live in a place where you're alone You've got me on your mind for the first time The only thing that we can do is keep us from falling apart We'll never get back together again 'Cause nothing will ever change (Oh-ah)",,,,,
Thoughts of you and me,"Thoughts of you and me, I don't know what it's like to live in the same place We've been together for a long time But now we're just two miles away from each other",,,,,
"Do you mean, do you","Do you mean, do you think of me? I don't know what it's like to be in love with someone else You're the only one that we've ever met (Oh-ooh)",,,,,
"La-la-la-la, la-la-la-la La-la-la-la, la-la She","La-la-la-la, la-la-la-la La-la-la-la, la-la She's got a lot of things in her mind But I don't know what it feels like to be at the same time 'Cause when you're with me (I'm on my way) A little bit too far away from where we've been for so long",,,,,
Hey Hey Hey Aaaaaah Hey,"Hey Hey Hey Aaaaaah Hey I don't know what it's like to live in a world where you're the only one You've got me on your mind And all of my friends are saying, ""Oh-oh"" 'Cause we just gotta gettin' outta here (I'm not gonna tell ya) So go ahead and let us do our best We'll be there for",,,,,
"Put your cigarette out, know","Put your cigarette out, know what it's like to live in a world that you've never seen before You're the only one who can't get away from me And I'm not gonna let this go down 'Cause my heart is so full of love (I just wanna be alone) Oh-ooh!",,,,,
"I wade the water, I","I wade the water, I don't know what it feels like to be in a place where you've never been There's nothing wrong with that kind of love You're not gonna let me go 'Cause no one else knows how much we can get away from each other And every time someone comes up and says ""You got my name on your mind"" (Oh-ohhah)",,,,,
Maybe I need some rehab,"Maybe I need some rehab, maybe it's just a matter of time Let me know what you're looking for You don't want to be the only one in your life (I'm on my own) Oh-ooh!",,,,,
Every time I think of,"Every time I think of you, it's hard to let go You're the only one who can hold me back And if we don't know each other We'll never be together again 'Cause and love are so much more than they could ever have Been on my mind for a while (I'm not gonna say goodbye) My heart is still beating like an old song in your head But",,,,,
"Yeah, baby, I like it","Yeah, baby, I like it all the way you do It's just a matter of time You don't have to worry about me 'Cause we're gonna fall apart We've been in love with each other for more than two or three years (Oh-ooh) The only thing that can keep us together is getting better At times when things are not so good and sometimes they get too",,,,,
Do you ever feel like,"Do you ever feel like we're on the edge of time? I don't know what to do with that, but it's hard for me and my family To be alone in a place where no one else can see The world is moving away from us We'll never let go again 'Cause our lives arein' together They've been so much better than they were before Oh-oh",,,,,
Heartbreaker Heartbreaker Heartbreaker Heartbreaker Pour,"Heartbreaker Heartbreaker Heartbreaker Heartbreaker Pourin' all the things that you've done to make me feel like I don't know what we're gonna do, but it's just a matter of time We'll never be together again 'Cause no one else will ever let us go",,,,,
Hard bass in your face,"Hard bass in your face, I don't know what it's like to be a part of my life But you're the one that makes me feel so much more than anything else (I'm not sure if this is true)",,,,,
This is my church This,"This is my church This has nothing to do with me, it's just a matter of time And I don't know what you're looking for You are the only one who can save us from this mess We will never be alone But we'll always love each other (I'm not sure)",,,,,
I miss you pushing me,"I miss you pushing me to the edge of my mind I don't know what's going on, but it feels like we've been through a long time We're still in love with each other But this is not gonna stop us from falling apart 'Cause no one will ever be alone You'll never come back again (Oh-ooh) The only thing that matters so much about your life",,,,,
Let me tell you my,"Let me tell you my story I don't know what it's like to be in the same place You've been here for a long time And we're never gonna let go We'll just wait and see if this is true 'Cause no one can stop us from loving each other The only thing that could change our way of life (Oh, oh) Is there anything wrong with your love?",,,,,
"Lay back, keep quiet, let","Lay back, keep quiet, let me go 'Cause I don't know what it's like to be alone You're the only one you've ever seen in my life This is just a matter of time We'll never see each other again (I'm not sure if this was true)",,,,,
From the breaking of the,"From the breaking of the world I've been thinking about you for a long time, but now it's too late to let go (I'm not sure what that means) We're in love with each other And we just can't get along without one another 'Cause there are so many different things That make me cry out loud and say ""Oh-oh"" You know my heart is beating",,,,,
Flashback to the time in,"Flashback to the time in my life I don't know what it's like When you look at me with your eyes wide open You say, ""I've been dreaming for a while"" (Oh-oh) How many years have gone so far? Time is running out of our minds and we're falling apart We'll never get back together again 'Cause no one will ever let us go",,,,,
If you stay for this,"If you stay for this long time, I'll never let it go You're the only one who can keep me in my head 'Cause there's a lot of things that we don't know We've been waiting all our lives to find out Who knows what will come next?",,,,,
I got no reason for,"I got no reason for it But I don't know what to say 'Cause when you're in the middle of my life, there's nothing wrong with me (Oh-ooh) The only thing that matters right now is your love You'll never be alone No one else will ever come close To find a way out Of this world where we live We've been living all our lives And",,,,,
I'm giving you a night,"I'm giving you a night, but I don't know what it's like to be alone You've been with me for the past three or four years (Oh-ooh) We're on our way out of town But we'll never get back together 'Cause no one in my life will ever stop us from falling apart And all that is left behind Is there something more than this?",,,,,
Breaking my back just to,"Breaking my back just to make you feel like I'm the only one who knows what's going on In a world where we can't get away from each other We'll never be together again, no matter how long You're in love with me and all of your friends 'Cause this is so much more than it ever could've been (Oh-ooh) So many years have gone by",,,,,
NA Just bought a black,"NA Just bought a black T-shirt And I don't know what it's like to be on my own You're the only one that can make you feel good, right?",,,,,
All I need's a little,"All I need's a little bit of money to pay my bills (I don't even know what that means) You're the only one in town, and you've got me on your mind We'll never see each other again",,,,,
Taken by wanderlust I can,"Taken by wanderlust I can't tell you what it's like to be alone You're the only one on my mind Took a look at me and said, ""I've been living in this world for so many years""",,,,,
"Lying here In my head,","Lying here In my head, I don't know what it's like to be a part of the world But when you're in love with someone else You'll never let me down 'Cause we've been friends and family for so long We both knew each other before The only thing that was ever said is ""I'm not gonna do this again"" (Oh-huh) Ooh",,,,,
'Cause I had the best,"'Cause I had the best day of my life And that's what it feels like to live in a world where you don't even know your name You're never gonna let me go Oh-oh, how do we get away from each other? (I've been thinking about this for years now) But no one has ever said 'Til someone else will come along and tell us all",,,,,
Heartbreaks and promises I've had,"Heartbreaks and promises I've had a lot of love in my life But it's hard to believe that you're the only one You can't get away from me Love is so much more than we ever thought It would be easy, if not impossible (I'm still trying) To find someone else who will make your dreams come true 'Cause they'll never let go My heart has been broken",,,,,
Mi-i-ine Give it to you,"Mi-i-ine Give it to you, don't get me wrong You're the only one who knows what I'm gonna do It's just a matter of time We'll be together again 'Cause we've got our hands on each other Every single thing that matters is so much more than your name And every once and for all my love (I know) So many things in this world",,,,,
If you stay for this,"If you stay for this long, I don't know what it's like to be alone You're the only one that can get me out of my head (I'm not a bad guy) 'Cause your life is so much more than we've ever known We'll never see each other again Oh-ooh!",,,,,
When you look at me,"When you look at me, I don't know what it's like to be alone You're not the only one in your life (I'm just a little bit too far away from home) And all of my friends and family have been around for some time But they've never felt that way 'Cause there are so many reasons why we love each other So much more than anything else We can",,,,,
I thought that I was,"I thought that I was falling in love with you, but it didn't work out like the way we used to be It's just a matter of time We've been together for more than two years You and me both know each other so well But they're not friends anymore They'll never meet again 'Cause no one will ever give up on us (Oh-ooh) The only thing",,,,,
"Hey, hey When everything goes","Hey, hey When everything goes wrong I don't know what it's like to be alone You're not the only one in your life But you've got me on my mind 'Cause this is just a matter of time And we'll never ever see each other again",,,,,
Oh my Oh my Fuck,"Oh my Oh my Fuck, I don't know what it's like to be a part of your life And you're the only one who can make me feel right Now that we've been together for so long We'll never see each other again",,,,,
Would I be crazy if,"Would I be crazy if it wasn't for you? It's just a matter of time to make up my mind 'Cause we're all in the same room We'll never see each other again (Oh, oh-oh) The only thing that makes me feel so good about myself is how many times have come and gone And no one will ever know what they've done To get away from",,,,,
I'm ashamed by the lies,"I'm ashamed by the lies I don't know what it's like to be a part of my life When you look at me and say, ""Oh-oh"" You're right there with your eyes open wide And we'll never let that go away.""",,,,,
I keep going to the,"I keep going to the edge of my heart And I don't know what it's like when you're in love With your eyes wide open You've been waiting for me For a long time, no one ever said they'd say we'll never be together again The only thing that really matters is how far apart We can go back and look at each other 'Cause there are so many reasons why",,,,,
An-nyng-ha-se-yo Sometimes you gotta bleed,"An-nyng-ha-se-yo Sometimes you gotta bleed 'Cause I don't know what it's like to be a part of my life You're the one who makes me feel so good And when we go out and play with each other We've been friends for some time, maybe two or three times The only thing that matters is your love Is there something in between us?",,,,,
"Right now, I'm in a","Right now, I'm in a situation where you don't know what it's like to be on your own You're not the only one that can get away from me 'Cause all of my friends and family are so much better than we've ever been (Oh-oh) We'll never see each other again And every time they say ""I just wanna come back"" So why? Because",,,,,
NA I look at you,"NA I look at you and say, ‘I don't know what it's like to be in love with someone else You're the only one who can make me feel that way 'Cause we've been together for after all of our years We'll never see each other again But just a little bit more than two weeks from now It feels so good when your eyes are wide open And",,,,,
It's like a weight upon,"It's like a weight upon your shoulders And I don't know what to do 'Cause you're the only one on my mind You've got me thinking, ""How can we get out of this mess?""",,,,,
"Once in a lifetime, the","Once in a lifetime, the only thing that I can do is make me feel like you've been here for so long It's hard to keep up with your friends and strangers You're always on my mind (I don't wanna be alone) And every time it gets too late We'll never see each other again 'Cause no one else will ever know where we are Going out of our minds",,,,,
"Purple skies, vivid dreams When","Purple skies, vivid dreams When we're in the middle of nowhere I can't tell you what it's like to be alone We've been living our lives all day and night for a long time The only thing that makes me feel so good is your love You'll never change my mind 'Cause no one will ever stop us from falling apart (Oh-oh) Our hearts are filled with",,,,,
Did I mention that I'm,"Did I mention that I'm the only one? Yeah, it's just a matter of time When you're in love with someone else You've got nothing to say about me (I don't really know) But when your heart is beating like an electric guitar It feels so much more than we could ever hope for We'll never be together again 'Cause our hearts are always on fire And if",,,,,
I personify the ‘adolescent on,"I personify the ‘adolescent on my mind I don't know what it's like to be a part of your life When you're in love with someone else You've been so far away from me Oh, how can we get over that? (Oh-ooh)",,,,,
Don't tire now Don't tire,"Don't tire now Don't tire when you're on the road 'Cause I'm running out of time and it's too late for me to let go Oh, what can we do?",,,,,
Oh it's a long way,"Oh it's a long way to go Oh, I don't know what you think of me You're the only one in my life And your love is so much more than we've ever known We'll never see each other again (I'm not gonna get away from that)",,,,,
"Hmm, mhm I don't wanna","Hmm, mhm I don't wanna tell you what it's like to be with a girl You're the only one who can make your dreams come true (Oh-ooh)",,,,,
"Oh, hush, my dear, it's","Oh, hush, my dear, it's just a matter of time And I can't wait for you to show me your love You're the only one we've ever known We'll never be together again Oh-huh!",,,,,
She may contain the urge,"She may contain the urge, but I don't know what to do It's just a matter of time If you're in love with someone else You'll find it all on your own She might hold her hand and say ""Oh-oh"" And then she looks back at me 'Cause we've been together for so long The only thing that matters is no one will ever let us go We",,,,,
She wanna be my baby,"She wanna be my baby, but I don't know what it's like to live in a world where you're not the only one She got me on her phone and she said ""Oh-oh"" (Yeah) 'Cause we all love each other We've been together for more than two years.""",,,,,
A green plastic watering can,"A green plastic watering can be seen in the sky, but you don't know what I'm talking about It's just a matter of time for me to get back on my feet 'Cause we're so far away from home We've been looking at each other with our eyes wide Open up your mind and let it all fall into place (Oh-oh) You'll never see us again But",,,,,
I'm doing nothing 'Cause then,"I'm doing nothing 'Cause then, I don't know what it's like to be alone You're the only one in my life And you've been with me for a long time (Oh-oh)",,,,,
Take a trip into my,"Take a trip into my mind And I don't know what it's like to be in this world You're the only one that can make me feel good 'Cause you've been here for so many years (Oh-ooh, oh) We'll never let go of all our dreams But when we get too far away from each other So come back and take some time To think about your",,,,,
Is this disguise Is this,"Is this disguise Is this good for you? I don't know what it's like to be a part of my life You're the only one who can make me feel alive And if we lose our minds We'll never get back together again (Oh, oh-oh) 'Cause there are so many things that nobody ever really cared about So why do they keep us in such an awkward place",,,,,
Party Rock Yeah Whoo! Let's,"Party Rock Yeah Whoo! Let's go 'Cause I don't know what you're gonna do Right here in the back of my mind (Yeah, yeah) So let me take a look at your life and see it all over again And then we'll find another way to make our dreams come true We've been waiting for some time But no one ever told us that they'd never be",,,,,
You remind me of something,"You remind me of something that I don't know What it's like to fall in love with a girl you've never seen before You're the only one who can change your mind When we meet again We'll be together for some time, maybe two or three Time will tell us how our lives are so different from each other (I'm not sure if this is true) So please up",,,,,
Where you been? Where you,"Where you been? Where you used to be There's no one else in your life You're the only thing that I can't get away from This is what it all feels like So let me take a step back and say, “I'm sorry for my mistakes” (Oh-oh)",,,,,
