Prompt,Generation,Coherence,Musical Quality,Pop Style
"I let it rain, I","I let it rain, I clear it out I let it rain, I clear it out Iletit rain, Iclear it out I let it rain,I clear it out Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side From    gang, ayy  street     bounce with my team, ayy     , ayy    case, ayy     I'm okay, ayy    plan      , ayy Popping, rocking, hopping, tutting, dougie, flexing, swaggin' (Woah)         (Woah)         cash Hope on the street    With Becky G on the side Everyday I'm lit (Get it!) We always got love For where we come from So let 'em know what's up, ooh No matter wherever we go Bring it back to this place called home, babe Now that you know it Let me see you (Ooh, ooh, ooh, what, what) Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle, o pollo con espagueti Ninguna de estas mujeres tiene el flow que tiene BeckyLatinoamericana, soy de aqu Carita de santa, pero freaky Quin me va a decir si ya to' lo vi? (Huh) Donde yo nac no pensaban que una mujer iba a sobresalir What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do Look back at it, lights, camera, action Definitivamente la mejor de la escena Word on the street we got the people reactin' La gente que critica simplemente me dan pena, haha We always got love (Got love) For where we come from (Where we from) So let 'em know what's up (Ooh, yeah) No matter wherever we go Bring it back to this place called home, baby Now that you know it Let me see you (Ooh, ooh, ooh, what what?) Go!I let it rain, I clear it out I let it rain, I clear it out I let it rain, I clear it out I let it rain, I clear it out Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it I let it rain, I clear it out I let it rain, I clear it out (Turn up!) Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Let it be your rain, and bring it out, yo Let it be your rain, just bring it out Let it rain no more, I clear it out Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it, ayy I let it rain, I clear it out I let it rain, I clear it out Iletit rain, Iclear it out I let it rain,I clear it out Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side From    gang, ayy  street     bounce with my team, ayy     , ayy    case, ayy     I'm okay, ayy    plan      , ayy Popping, rocking, hopping, tutting, dougie, flexing, swaggin' (Woah)         (Woah)         cash Hope on the street    With Becky G on the side Everyday I'm lit (Get it!) We always got love For where we come from So let 'em know what's up, ooh No matter wherever we go Bring it back to this place called home, babe Now that you know it Let me see you (Ooh, ooh, ooh, what, what) Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle, o pollo con espagueti Ninguna de estas mujeres tiene el flow que tiene BeckyLatinoamericana, soy de aqu Carita de santa, pero freaky Quin me va a decir si ya to' lo vi? (Huh) Donde yo nac no pensaban que una mujer iba a sobresalir What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do? (What, what?) What you gonna do, what you gonna do Look back at it, lights, camera, action Definitivamente la mejor de la escena Word on the street we got the people reactin' La gente que critica simplemente me dan pena, haha We always got love (Got love) For where we come from (Where we from) So let 'em know what's up (Ooh, yeah) No matter wherever we go Bring it back to this place called home, baby Now that you know it Let me see you (Ooh, ooh, ooh, what what?) Go!I let it rain, I clear it out I let it rain, I clear it out I let it rain, I clear it out I let it rain, I clear it out Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it I let it rain, I clear it out I let it rain, I clear it out (Turn up!) Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Chicken noodle soup Chicken noodle soup Chicken noodle soup with a soda on the side Let it be your rain, and bring it out, yo Let it be your rain, just bring it out Let it rain no more, I clear it out Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it Let's get it, let's get it, ayy",,,
So what you been doing?,"So what you been doing? I've been loving my life waking up on my own Are you doing the same thing? You can say if you like, but I don't need to know And I, I've been wondering why we've been wasting all this time So what you been doing? I thought that I saw you, I guess I was wrong Are you doing the same thing? Convincing yourself you're better alone And I could tell you how you never left my mind Then, you tell me that you miss me and I'm like Oh God, I miss you, too It's all I ever do I'm coming back to you And I won't let go Oh God, I miss you, too We got making up to do I'm coming back to you And I won't let go again Oh, I won't let go again So what were we thinking? You got me a cab, and we said we were done And I thought I was fine But the days were so long, and they rolled into one And I, I couldn't believe you were taking it in your stride Then, you tell me that you miss me and I'm like Oh God, I miss you, too It's all I ever do I'm coming back to you And I won't let go Oh God, I miss you, too We got making up to do I'm coming back to you And I won't let go again Oh, I won't let go again Will you be my best friend? Will you be my last? I need somebody who can love me like that You be my best friend Will you be my last? I need somebody who can love me like that Oh God, I miss you, too It's all I ever do I'm coming back to you And I won't let go Oh God, I miss you, too We got making up to do I'm coming back to you And I won't let go again Will you be my best friend? Will you be my last? (Oh, I won't let go again) I need somebody who can love me like that Will you be my best friend? Will you be my last? I need somebody who can love me like that",,,
"Spark up your dreams, get","Spark up your dreams, get off your grind That teenage state of mind We're buzzing from the high Well, I know the finest trees to climb Swing right up to the sky Like E.T on his bike Man, I got rocks in my shoes Hey, we got nothing to lose Oh, we live the life that we choose Come to the playground I'm at the playground Girl, we could play around Come to the playground Razmatazz, sipping only razzy razz, fuck it Even thought my tongue's blue, I know that I got you It's Super Mario, sorry, I'm not sorry, yo You're my second player though, left and right we're stereo I pump up the jams, I wanna drive And we got your parent's ride A full tank of freedom for the night Man, I got rocks in my shoes Hey, we got nothing to lose Oh, we live the life that we choose Come to the playground I'm at the playground Girl, we could play around Come to the playground Come to the playground (Come on) I'm at the playground (I'm at the playground, I'm at the playground) Girl, we could play around (Girl, we could play around) Come to the playground Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah (Even though my tongue's blue, I know that I got you) Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah",,,
I'm sitting alone Nobody to,"I'm sitting alone Nobody to hold The people in here are crazy Faking a smile now Been here for a while now I'm fed up with this I just wanna go home But damn, that girl Set me up with her Dance with me, baby Dance with me, baby, let's get lost right here Dance with me, baby Dance with me, babe, under the chandelier Dance with me, baby Dance with me, baby Don't turn me down for him What does he have that I can't give to you, girl? I can't understand this This guy's just a douchebag I'm so disappointed in myself (Ooh-ooh-ooh) The look on her face says I hope we go places I'm left alone Should've stayed at home And searched how to date on Chrome Dance with me, baby Dance with me, baby, let's get lost right here Dance with me, baby Dance with me, babe, under the chandelier Dance with me, baby Dance with me, baby Don't turn me down for him What does he have that I can't give to you, girl I'm sitting alone Dance with me, baby Dance with me, baby, let's get lost right here Dance with me, baby Dance with me, babe, under the chandelier Dance with me, baby Dance with me, baby What does he have that I don't? I could give the world to you if you turned him down for me",,,
Something could change or a,"Something could change or a train could arrive They'll call me a name I won't recognize And I will sing along As long as we're moving, I don't care if we're lost Eyes gleaming, shots, five-o'clock in the morning Mind in the sky and the night got storms Keep waking up and it's tough when you're lonely Tough when it's closer to home Yeah, I've been thinking about going Things not growing up Yeah, I've been thinking about going Somewhere they can't touch Something could change or a train could arrive They'll call me a name I won't recognize And I will sing along As long as we're moving, I don't care if we're lost Soon as the yellow light change, we pull of in that Range I done seen everything, you can tell by my age I'm just lost, baby, trying to figure out my ways I'm a dog, baby, trying to break out of this cage No other option, baby, gotta make my name We stubborn niggas, like, we always do the same thing Leave the club at one or two, probably leave with one or two Watch us with some wild dudes, you'll be entertained I promise, whatever that you need, I got it My mama told me I'm a prophet But all them drugs, boy, you gotta stop 'em, you gotta stop 'em Something could change or a train could arrive They'll call me a name I won't recognize And I will sing along As long as we're moving, I don't care if we're lost I don't care if we're lost I don't care if we're lost I'm flying high, higher than I've been in a while I'm leaving tonight, leaving my worries behind I'm flying high, higher than I've been in my while I'm leaving tonight, leaving my worries behind Ooh, I'm flying, I'm leaving behind Ooh, I'm leaving, leaving tonight Something could change or a train could arrive They'll call me a name I won't recognize And I will sing along As long as we're moving, I don't care if we're lost Something could change, ooh, I'm flying, flying tonight Something could change, ooh, I'm leaving tonight",,,
"Boys and girls, the new","Boys and girls, the new generation Call it generation of love Boys and girls the new generation Call it generation of love Boys and girls, the new generation Call it generation of love Boys and girls the new generation Call it generation of love Give me all your lovin' Give me all your lovin' Give me all your lovin' Make it true Give me all your lovin' Give me all your lovin' Give me all your lovin' Me to you Boys and girls jump up and down Move your body 'round and 'round Pump the bass up in this place Put a smile back in your face Take control, don't waste time The heat is on, you're feeling fine Feel the power from above Call it generation of love Baby give me all your passion Baby give me all your love Baby give me all your passion Baby give me all your love Boys and girls, the new generation Call it generation of love Boys and girls the new generation Call it generation of love Give me all your lovin' Give me all your lovin' Give me all your lovin' Make it true Give me all your lovin' Give me all your lovin' Give me all your lovin' Me to you Here I go, here I go Kiss me baby, let it flow You know how to make it right Light my fire, hold me tight People of the night keep grooving Got to get it right, your moving Feel the power from above Call it generation of love Everybody's feeling happy Everybody everywhere Everybody's feeling happy Everybody everywhere Boys and girls, the new generation Call it generation of love Boys and girls the new generation Call it generation of love Give me all your lovin' Give me all your lovin' Give me all your lovin' Make it true Give me all your lovin' Give me all your lovin' Give me all your lovin' Me to you Boys and girls the new generation Call it generation of love...",,,
Walk in the room Leaving,"Walk in the room Leaving the sun in disgrace Shining so bright Makes me forget time and space Yeah And I feel like Nothing Nothing can touch me now In this moment Right here No one can bring me down Makes me wanna say hey yeah yeah I don't want this feeling to end I wanna say hey yeah yeah 'Cause it's like anything can happen On a night like this Night like this Night like this Night like this oh yeah yeah Come be with me Under the wide open sky Yeah (under the wide open sky) Drinks all around Freedom you just can't deny No And I feel like Nothing (nothing) Nothing can touch me now (nothing can touch me now) In this moment Right here No one can bring me down Makes me wanna say hey yeah yeah I don't want this feeling to end I wanna say hey yeah yeah 'Cause it's like anything can happen On a night like this Night like this Night like this Night like this On a night like this On a night like On a night like this On a night like Am I contagious? (Am I? Am I? Am I?) 'Cause the feeling's contagious (Am I? Am I? Am I?) Am I contagious? (Am I? Am I? Am I?) 'Cause nothing can stop us (stop us, stop us) On a night like this (nothing can stop us) (Stop us, stop us, stop us, stop us) Makes me wanna say hey yeah yeah (oh baby) I don't want this feeling to end (don't want this feeling to end) I wanna say hey yeah yeah (Oh) 'cause it's like anything can happen (oh) (Anything, anything) Makes me wanna say hey yeah yeah I don't want this feeling to end (no, no, no) I wanna say hey ya ya (wanna say, wanna say) 'Cause it's like anything can happen On a night like this Night like this Night like this Night like this On a night like this On a night like this On a night like this On a night like (c'mon) Oh yeah, baby, baby Oh yeah baby, baby",,,
"I wanna go, so, what'd","I wanna go, so, what'd you say When you gonna let me know If you give a damn about me?'Cause you got my hands tied In my defense, I always fall for confidence And your compliments look good on me 'Cause nobody knows it better Than the girl in the corner With the Scarlet Letter And while you're watching You may think that she doesn't matter But no one knows you better Oh yeah I wanna dance I wanna dance, dance, dance with you- you So, take a chance So, take a chance Oh yeah I wanna dance I wanna dance, dance, dance with you- you So, take a chance So, take a chance Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah I need a sign or a signal I've overthought everything I can think of into symbol I need the coat and your jacket And the remnants of your cigarette packet I wanna go, so, what'd you say When you gonna let me know If you give a damn about me? 'Cause you got my hands tied In my defense, I always fall for confidence And your compliments look good on me 'Cause nobody knows it better Than the girl in the corner With the Scarlet Letter And while you're watching You may think that she doesn't matter But no one knows you better I wanna dance, I wanna dance, I wanna dance with you- you So, take a chance So, take a chance Oh yeah I wanna dance, I wanna dance, I wanna dance with you- you I wanna dance, I wanna dance Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah Oh yeah",,,
I'm reading through the Sunday,"I'm reading through the Sunday paper and it's all bad news (All bad news) I'm looking for a smile on the streets, but it's just no use (Just no use) Sing with me now…Singing in the rain up, in the rain up Singing in the rain up, in the rain up I jump into my car, turn the key, but it just won't start (No, it just won't start) I got a text from my ex, it's official, she just broke my heart (She just broke my heart, oh) Storm clouds are circling around But I won't let that shit drag me down So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) I've got a song in my heart and I'm bulletproof (Bulletproof) There's nothing in the world that's gonna kill this mood (C'mon!) No matter what life wants to throw my way I'll be singing, I'll be singing in the rain Singing in the rain up, in the rain up Singing in the rain up, in the rain up I went to see a fortune teller and she said I'm doomed Oh, no, no, no, no! But what the hell does she know Why she trying to break my groove? Now why she have to break my groove? All of life's colors turn to gray Then you turn around and you smile my way Suddenly all my problems disappear on cue (All because of you) Storm clouds are circling around But I won't let that shit drag me down So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) I've got a song in my heart and I'm bulletproof (Bulletproof) There's nothing in the world that's gonna kill this mood (C'mon!) No matter what life wants to throw my way I'll be singing, I'll be singing in the rain Singing in the rain up, in the rain up Singing in the rain up, in the rain up Even when things shake, earthquake No one can ever steal this smile Even if they fail me And see lately, it's been crazy But it's okay, alright, see everything works And we living life in the fast lane No matter what, I'ma won't change Rock City, not pretty Tell them what, I'ma not stop playing Are you feeling good, feeling great? No matter what, I won't see me break In a rain singing this tune 'Cause life is what I appreciate Storm clouds are circling around But I won't let that shit drag me down No no, no no, no no, no So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) So I'll be singing (I'll be singing) I'll be singing (I'll be singing) I'll be singing in the rain (Singing in the rain) I've got a song in my heart and I'm bulletproof (Bulletproof) There's nothing in the world that's gonna kill this mood (Kill this mood) No matter what life wants to throw my way (Throw my way) I'll be singing, I'll be singing in the rain Singing in the rain up, in the rain up Singing in the rain up, in the rain up Singing in the rain up, in the rain up",,,
You see that gyal there?,"You see that gyal there? Yeah, it's my one (Yeah) Anyting she want, I gotta buy one (Yeah) We just like chillin' on a night one We should have a couple babies, they'll be bright ones I'm just out 'ere tryna be an icon (Icon) I'm tryna eat the cake with all the ice on (Oh yeah, yeah) Anywhere I go, I get it poppin' like whoa (Whoa) Happy I can find one Becah that girl ah my one We're not lookin' for a sly one Becah that girl ah my one, yeah Ain't lookin' for no shy one, no Boy you know, you're my one You got my body on your mind, and your mind on my body Baby come, come You got my body double time when you hold up on me You know you my one She ah my one Me no know bout you but she ah my one, yeah And you, you You got my body on your mind, and your mind on my body Want fi give you my love, baby Want fi give you nuff kisses and hug, baby I wanna channel my love A rude bwoy has to give up tough love Wanna let me focus, yeah, me focus Slim waist, slick face and I haffi notice Gwaan with the tings that'll make notice Them no want smoke, gyal, you the dopest, yeah Becah that girl ah my one We're not lookin' for a sly one Becah that girl ah my one, yeah Ain't lookin' for no shy one, no Boy you know, you're my one You got my body on your mind, and your mind on my body Baby come, come You got my body double time when you hold up on me You know you my one She ah my one Me no know bout you but she my one, yeah And you, you You got my body on your mind, and your mind on my body If I were you, I wouldn't let me wait No delay, don't be late, you'll regret it tomorrow This is hard to come by Don't be silly and let this slide Baby, you gon' make me tongue-tied (You gon' make me tongue) I'm feeling to lick it til it turn dry (Ayy) I'm about this life, so feed me for the night (Whoa) Happy I can find one You see that gyal a my one (See that gyal mine) We not lookin' for a sly one (No mi haffi find) Becah that girl ah my one, yeah Ain't lookin' for no shy one, no Nice eyes, nice waistline, me ah take it for Dancehall style and back it up She's so damn fine (Oh yeah) Glad I came on time Can I buy you a drink or two? (Oh yeah) Saw you when you walked in through, ooh And I got to say, I (Oh yeah) I'm in love girl Becah that girl ah my one We're not lookin' for a sly one Becah that girl ah my one, yeah Ain't lookin' for no shy one, no Boy you know, you're my one You got my body on your mind, and your mind on my body Baby come, come You got my body double time when you hold up on me You know you my one She ah my one Me no know bout you but she my one, yeah And you, you You got my body on your mind, and your mind on my body",,,
"Breathing deeply, walking backwards Finding","Breathing deeply, walking backwards Finding strength to call and ask her Roller coaster, favorite ride Let me kiss you one last time Leave me standing here Act like I'm not around The coast will probably never clear Can I please go home now? I had that dream about you again Where I wait outside until you let me in And there I stayed Lay beside me and listen at the wall We'll keep on lying until the summer comes I had that dream about you again Where you drive my car Right off a fucking cliff And now I'm breathing deeply, walking backwards Finding strength to call and ask her Rollercoaster favorite ride Let me kiss you one last time good night Make me promise That I will never tell All I remember is The way her bedroom smelled I had that dream about you again Where I wait outside until you let me in And there I ... And now I'm breathing deeply, walking backwards Finding strength to call and ask her Rollercoaster favorite ride Let me kiss you one last time good night",,,
"Whoo um, yeah Life is","Whoo um, yeah Life is like a road that you travel on When there is one day here and the next day gone Sometimes you bend, sometimes you stand Sometimes you turn your back to the wind There is a world outside every darkened door Where blues will not haunt you anymore Where brave are free and lovers soar Come ride with me to the distant shore We won't hesitate To break down the garden gate There's not much time left today Life is a highway I want to ride it all night long If you are going my way I want to drive it all night long Through all these cities and all these towns It is in my blood and it is all around I love you now like I loved you then This is the road and these are the hands From Mozambique to those Memphis nights The Khyber Pass to Vancouver's lights Knock me down get back up again You are in my blood I am not a lonely man There is no load I cannot hold Road so rough this I know I will be there when the light comes in Just tell them we are survivors Life is a highway I want to ride it all night long If you are going my way I want to drive it all night long Give me give me give me give me yeah Life is a highway I want to ride it all night long If you are going my way I want to drive it all night long There was a distance between you and I (Between you and I) A misunderstanding once But now we look it in the eye Ooh, yeah There ain't no load that I can't hold The roads are rough, this I know I'll be there when the light comes in Just tell them we're survivors Life is a highway I want to ride it all night long If you're going my way I want to drive it all night long Life is a highway I want to ride it all night long If you're going my way I want to drive it all night long Life is a highway I want to ride it all night long If you're going my way I want to drive it all night long Give me give me give me give me yeah",,,
